order_id,order_date,warehouse_id,destination_city,distance_km,carrier,estimated_delivery_days,weight_kg,delivered,freight_cost,actual_delivery_days,delay_days
87,2024-01-04 14:00:00,WH_Kazan,Kazan,181.8,CDEK,1,0.34,True,2819.72,2.0,1.0
88,2024-01-04 15:00:00,WH_Moscow,Novosibirsk,376.0,Russian Post,2,1.38,False,3423.1,,
89,2024-01-04 16:00:00,WH_SPb,Moscow,154.5,Boxberry,5,0.03,True,1859.56,6.0,1.0
90,2024-01-04 17:00:00,WH_Moscow,Kazan,62.5,Russian Post,2,1.55,False,577.5,,
91,2024-01-04 18:00:00,WH_Moscow,Novosibirsk,233.5,Russian Post,5,1.85,True,2213.58,5.0,0.0
92,2024-01-04 19:00:00,WH_Moscow,Kazan,76.6,PickPoint,1,2.43,True,952.14,1.0,0.0
93,2024-01-04 20:00:00,WH_Moscow,Novosibirsk,1098.2,Boxberry,3,0.26,True,13521.04,3.0,0.0
94,2024-01-04 21:00:00,WH_Kazan,Novosibirsk,148.5,CDEK,4,0.5,True,2338.88,4.0,0.0
95,2024-01-04 22:00:00,WH_Moscow,Moscow,721.3,Boxberry,1,2.38,True,10715.63,2.0,1.0
96,2024-01-04 23:00:00,WH_Moscow,SPb,76.7,PickPoint,1,2.68,True,972.56,3.0,2.0
97,2024-01-05 00:00:00,WH_Moscow,Novosibirsk,62.9,Russian Post,1,0.07,True,506.72,1.0,0.0
98,2024-01-05 01:00:00,WH_Kazan,Novosibirsk,287.8,Boxberry,4,1.94,True,4123.6,4.0,0.0
99,2024-01-05 02:00:00,WH_Moscow,Moscow,453.4,PickPoint,5,3.84,False,6275.06,,
100,2024-01-05 03:00:00,WH_Moscow,SPb,250.9,Russian Post,3,0.18,True,2043.33,3.0,0.0
101,2024-01-05 04:00:00,WH_Kazan,Ekaterinburg,78.3,CDEK,3,1.33,True,1330.71,3.0,0.0
102,2024-01-05 05:00:00,WH_Kazan,Ekaterinburg,11.6,Boxberry,3,0.99,True,152.98,3.0,0.0
103,2024-01-05 06:00:00,WH_Kazan,SPb,288.9,CDEK,5,6.12,True,6985.6,7.0,2.0
104,2024-01-05 07:00:00,WH_Moscow,Kazan,42.1,CDEK,2,0.51,False,663.71,,
105,2024-01-05 08:00:00,WH_Kazan,Moscow,126.1,PickPoint,2,0.96,True,1382.06,2.0,0.0
106,2024-01-05 09:00:00,WH_Kazan,SPb,337.9,PickPoint,3,5.72,True,5311.79,6.0,3.0
107,2024-01-05 10:00:00,WH_Moscow,Ekaterinburg,31.0,Russian Post,1,1.0,True,272.8,1.0,0.0
108,2024-01-05 11:00:00,WH_Kazan,Novosibirsk,40.8,CDEK,1,1.89,True,727.67,1.0,0.0
109,2024-01-05 12:00:00,WH_Moscow,Ekaterinburg,19.1,PickPoint,4,0.08,False,192.53,,
110,2024-01-05 13:00:00,WH_SPb,Novosibirsk,1662.4,PickPoint,2,10.48,True,34045.95,2.0,0.0
111,2024-01-05 14:00:00,WH_Kazan,Moscow,146.9,CDEK,1,4.36,False,3164.23,,
112,2024-01-05 15:00:00,WH_SPb,Novosibirsk,708.7,Russian Post,3,2.52,True,7098.34,4.0,1.0
113,2024-01-05 16:00:00,WH_Moscow,SPb,104.3,CDEK,4,0.16,True,1589.53,4.0,0.0
114,2024-01-05 17:00:00,WH_Kazan,Novosibirsk,419.8,Russian Post,2,0.19,True,3422.21,3.0,1.0
115,2024-01-05 18:00:00,WH_Moscow,Kazan,74.2,Russian Post,4,1.97,True,710.54,4.0,0.0
116,2024-01-05 19:00:00,WH_SPb,SPb,206.9,PickPoint,1,0.84,True,2242.8,2.0,1.0
117,2024-01-05 20:00:00,WH_Moscow,Moscow,522.2,CDEK,3,2.44,True,9744.25,3.0,0.0
118,2024-01-05 21:00:00,WH_Kazan,SPb,508.4,CDEK,3,2.28,True,9364.73,3.0,0.0
119,2024-01-05 22:00:00,WH_Kazan,Kazan,474.4,PickPoint,3,4.56,True,6907.26,3.0,0.0
120,2024-01-05 23:00:00,WH_SPb,Moscow,520.7,Boxberry,1,0.83,True,6767.02,1.0,0.0
121,2024-01-06 00:00:00,WH_Moscow,Ekaterinburg,71.3,Boxberry,5,2.16,True,1040.41,5.0,0.0
122,2024-01-06 01:00:00,WH_Kazan,Kazan,197.5,CDEK,3,3.76,True,4076.4,3.0,0.0
123,2024-01-06 02:00:00,WH_SPb,Moscow,199.0,PickPoint,5,1.69,True,2326.31,5.0,0.0
124,2024-01-06 03:00:00,WH_Kazan,Novosibirsk,663.6,Russian Post,3,4.44,True,7665.91,3.0,0.0
125,2024-01-06 04:00:00,WH_Kazan,SPb,105.7,Russian Post,5,0.35,True,875.2,5.0,0.0
126,2024-01-06 05:00:00,WH_Moscow,Moscow,804.3,CDEK,2,3.31,True,16057.85,5.0,3.0
127,2024-01-06 06:00:00,WH_Kazan,SPb,179.8,PickPoint,2,7.16,True,3085.37,5.0,3.0
128,2024-01-06 07:00:00,WH_Moscow,Novosibirsk,332.4,CDEK,3,1.01,True,5489.59,5.0,2.0
129,2024-01-06 08:00:00,WH_Kazan,Moscow,94.0,CDEK,4,1.14,True,1570.74,4.0,0.0
130,2024-01-06 09:00:00,WH_SPb,Ekaterinburg,158.4,PickPoint,4,0.22,True,1618.85,4.0,0.0
131,2024-01-06 10:00:00,WH_Kazan,Kazan,371.2,CDEK,1,2.56,True,6993.41,1.0,0.0
132,2024-01-06 11:00:00,WH_Moscow,Moscow,215.7,Russian Post,2,2.01,False,2072.45,,
133,2024-01-06 12:00:00,WH_Moscow,Novosibirsk,800.8,Boxberry,2,0.1,True,9705.7,2.0,0.0
134,2024-01-06 13:00:00,WH_SPb,Moscow,400.8,Russian Post,4,3.49,True,4325.43,4.0,0.0
135,2024-01-06 14:00:00,WH_Kazan,SPb,249.3,Boxberry,3,4.42,True,4313.89,3.0,0.0
136,2024-01-06 15:00:00,WH_Kazan,Moscow,653.2,PickPoint,1,5.94,True,10412.01,1.0,0.0
137,2024-01-06 16:00:00,WH_SPb,Ekaterinburg,328.6,CDEK,2,1.97,True,5900.01,2.0,0.0
138,2024-01-06 17:00:00,WH_Kazan,Moscow,312.7,Boxberry,1,1.51,True,4319.01,1.0,0.0
139,2024-01-06 18:00:00,WH_Kazan,Kazan,84.9,PickPoint,2,5.22,True,1292.18,2.0,0.0
140,2024-01-06 19:00:00,WH_Moscow,Moscow,150.7,PickPoint,5,1.27,True,1698.39,5.0,0.0
141,2024-01-06 20:00:00,WH_Kazan,SPb,344.9,PickPoint,5,2.66,True,4366.43,5.0,0.0
142,2024-01-06 21:00:00,WH_Kazan,Moscow,667.1,Russian Post,1,2.39,True,6612.3,1.0,0.0
143,2024-01-06 22:00:00,WH_SPb,Ekaterinburg,113.7,Russian Post,4,1.16,True,1015.11,4.0,0.0
144,2024-01-06 23:00:00,WH_SPb,Novosibirsk,72.8,Boxberry,4,0.23,True,893.69,5.0,1.0
145,2024-01-07 00:00:00,WH_Moscow,Moscow,270.2,Boxberry,2,0.05,True,3258.61,2.0,0.0
146,2024-01-07 01:00:00,WH_Kazan,Moscow,20.9,Russian Post,5,1.4,True,190.61,5.0,0.0
147,2024-01-07 02:00:00,WH_Kazan,Kazan,376.1,Boxberry,5,1.64,True,5253.36,6.0,1.0
148,2024-01-07 03:00:00,WH_Kazan,Ekaterinburg,364.3,Boxberry,1,4.32,True,6260.13,1.0,0.0
149,2024-01-07 04:00:00,WH_Moscow,Novosibirsk,131.5,CDEK,1,1.34,True,2236.81,1.0,0.0
150,2024-01-07 05:00:00,WH_Moscow,SPb,669.6,Boxberry,4,0.83,True,8702.12,4.0,0.0
151,2024-01-07 06:00:00,WH_SPb,Moscow,209.3,PickPoint,4,1.55,True,2417.42,4.0,0.0
152,2024-01-07 07:00:00,WH_Moscow,Novosibirsk,311.3,CDEK,4,0.68,True,4987.03,4.0,0.0
153,2024-01-07 08:00:00,WH_Kazan,SPb,70.6,Boxberry,3,0.24,True,867.53,3.0,0.0
154,2024-01-07 09:00:00,WH_Kazan,Ekaterinburg,162.0,CDEK,5,0.3,False,2502.9,,
155,2024-01-07 10:00:00,WH_Moscow,Ekaterinburg,595.1,PickPoint,5,0.96,True,6522.3,5.0,0.0
156,2024-01-07 11:00:00,WH_Kazan,Novosibirsk,71.8,Boxberry,1,0.03,False,864.18,,
157,2024-01-07 12:00:00,WH_Kazan,SPb,148.6,CDEK,5,0.62,True,2367.2,5.0,0.0
158,2024-01-07 13:00:00,WH_Moscow,Ekaterinburg,114.9,Boxberry,1,3.87,True,1912.4,1.0,0.0
159,2024-01-07 14:00:00,WH_Moscow,Novosibirsk,49.1,CDEK,3,0.67,True,785.85,4.0,1.0
160,2024-01-07 15:00:00,WH_Kazan,Ekaterinburg,102.6,CDEK,4,0.29,True,1583.63,4.0,0.0
161,2024-01-07 16:00:00,WH_Kazan,Ekaterinburg,79.5,PickPoint,3,7.44,True,1386.48,3.0,0.0
162,2024-01-07 17:00:00,WH_Kazan,Ekaterinburg,771.5,PickPoint,4,2.44,True,9597.46,5.0,1.0
163,2024-01-07 18:00:00,WH_SPb,Kazan,405.4,Boxberry,4,0.15,True,4937.77,4.0,0.0
164,2024-01-07 19:00:00,WH_SPb,SPb,114.0,Russian Post,1,0.16,True,926.59,1.0,0.0
165,2024-01-07 20:00:00,WH_SPb,Novosibirsk,432.3,Boxberry,4,2.37,True,6417.06,4.0,0.0
166,2024-01-07 21:00:00,WH_Moscow,Novosibirsk,6.7,CDEK,3,1.94,False,120.0,,
167,2024-01-07 22:00:00,WH_SPb,SPb,224.3,PickPoint,2,0.18,True,2283.37,2.0,0.0
168,2024-01-07 23:00:00,WH_Moscow,SPb,86.4,PickPoint,1,0.64,True,919.3,1.0,0.0
169,2024-01-08 00:00:00,WH_Moscow,SPb,36.4,CDEK,4,6.61,True,906.91,4.0,0.0
170,2024-01-08 01:00:00,WH_SPb,SPb,645.6,Russian Post,4,2.12,True,6259.74,4.0,0.0
171,2024-01-08 02:00:00,WH_SPb,Moscow,66.7,PickPoint,5,1.45,True,763.72,8.0,3.0
172,2024-01-08 03:00:00,WH_SPb,Novosibirsk,518.5,Russian Post,1,0.72,True,4446.66,1.0,0.0
173,2024-01-08 04:00:00,WH_Kazan,Moscow,159.9,PickPoint,1,0.36,True,1656.56,1.0,0.0
174,2024-01-08 05:00:00,WH_SPb,Ekaterinburg,4.3,CDEK,3,1.29,True,72.82,5.0,2.0
175,2024-01-08 06:00:00,WH_Kazan,Ekaterinburg,395.6,Boxberry,2,6.39,True,7780.66,2.0,0.0
176,2024-01-08 07:00:00,WH_Moscow,Novosibirsk,272.2,Boxberry,3,0.12,True,3305.6,3.0,0.0
177,2024-01-08 08:00:00,WH_Kazan,Ekaterinburg,126.6,Russian Post,3,11.77,True,2204.87,5.0,2.0
178,2024-01-08 09:00:00,WH_SPb,SPb,99.2,Boxberry,3,0.58,True,1259.44,3.0,0.0
179,2024-01-08 10:00:00,WH_Moscow,Moscow,23.0,CDEK,2,1.31,True,390.2,2.0,0.0
180,2024-01-08 11:00:00,WH_Moscow,SPb,851.2,Boxberry,3,0.12,True,10336.97,3.0,0.0
181,2024-01-08 12:00:00,WH_Moscow,Ekaterinburg,204.4,Russian Post,1,2.2,True,1994.94,2.0,1.0
182,2024-01-08 13:00:00,WH_Kazan,Moscow,26.8,CDEK,2,1.65,True,468.33,2.0,0.0
183,2024-01-08 14:00:00,WH_SPb,SPb,609.0,CDEK,4,2.75,True,11647.12,4.0,0.0
184,2024-01-08 15:00:00,WH_Moscow,Novosibirsk,98.1,PickPoint,5,1.96,True,1173.28,5.0,0.0
185,2024-01-08 16:00:00,WH_Moscow,SPb,68.3,PickPoint,5,1.27,True,769.74,5.0,0.0
186,2024-01-08 17:00:00,WH_Moscow,Ekaterinburg,98.9,Boxberry,1,3.35,False,1584.38,,
187,2024-01-08 18:00:00,WH_Kazan,Moscow,249.4,Russian Post,5,0.06,True,2007.17,5.0,0.0
188,2024-01-08 19:00:00,WH_Kazan,Novosibirsk,23.1,CDEK,5,1.95,True,414.07,5.0,0.0
189,2024-01-08 20:00:00,WH_SPb,Moscow,197.2,Boxberry,5,0.3,True,2437.39,5.0,0.0
190,2024-01-08 21:00:00,WH_Kazan,Novosibirsk,678.3,Boxberry,4,1.43,True,9303.56,4.0,0.0
191,2024-01-08 22:00:00,WH_Moscow,Moscow,62.5,PickPoint,5,3.92,True,870.0,5.0,0.0
192,2024-01-08 23:00:00,WH_SPb,Ekaterinburg,120.7,Boxberry,3,0.38,True,1503.44,3.0,0.0
193,2024-01-09 00:00:00,WH_Moscow,Novosibirsk,151.3,Boxberry,1,6.86,True,3061.1,1.0,0.0
194,2024-01-09 01:00:00,WH_Moscow,Kazan,264.7,PickPoint,1,5.48,True,4097.56,1.0,0.0
195,2024-01-09 02:00:00,WH_Kazan,Moscow,754.9,Boxberry,1,1.34,True,10272.68,3.0,2.0
196,2024-01-09 03:00:00,WH_SPb,Moscow,150.5,Boxberry,4,0.01,True,1807.81,4.0,0.0
197,2024-01-09 04:00:00,WH_Kazan,SPb,21.5,CDEK,4,3.9,True,448.28,4.0,0.0
198,2024-01-09 05:00:00,WH_Kazan,Novosibirsk,128.3,Boxberry,5,5.32,True,2358.67,5.0,0.0
199,2024-01-09 06:00:00,WH_SPb,Kazan,63.2,PickPoint,3,0.48,True,662.34,3.0,0.0
200,2024-01-09 07:00:00,WH_Moscow,Ekaterinburg,316.5,PickPoint,5,6.2,True,5127.3,8.0,3.0
201,2024-01-09 08:00:00,WH_Moscow,SPb,8.9,CDEK,1,6.14,True,215.47,1.0,0.0
202,2024-01-09 09:00:00,WH_SPb,Kazan,103.6,PickPoint,3,1.59,True,1200.72,3.0,0.0
203,2024-01-09 10:00:00,WH_Moscow,Novosibirsk,236.4,PickPoint,1,4.0,True,3309.6,1.0,0.0
204,2024-01-09 11:00:00,WH_SPb,Kazan,97.4,PickPoint,3,1.47,True,1117.18,4.0,1.0
205,2024-01-09 12:00:00,WH_SPb,Moscow,240.2,Boxberry,2,2.08,True,3481.94,2.0,0.0
206,2024-01-09 13:00:00,WH_Kazan,Moscow,36.6,CDEK,4,0.96,True,601.7,4.0,0.0
207,2024-01-09 14:00:00,WH_SPb,SPb,858.4,Russian Post,4,0.43,True,7162.49,4.0,0.0
208,2024-01-09 15:00:00,WH_Kazan,Novosibirsk,103.1,CDEK,1,3.43,True,2076.95,1.0,0.0
209,2024-01-09 16:00:00,WH_Moscow,Novosibirsk,769.2,CDEK,1,0.0,True,11538.0,1.0,0.0
210,2024-01-09 17:00:00,WH_Moscow,Kazan,118.3,CDEK,2,2.17,True,2159.57,4.0,2.0
211,2024-01-09 18:00:00,WH_Moscow,SPb,456.8,Russian Post,5,5.0,True,5481.6,5.0,0.0
212,2024-01-09 19:00:00,WH_Moscow,Novosibirsk,84.8,Russian Post,3,0.63,True,721.14,3.0,0.0
213,2024-01-09 20:00:00,WH_Kazan,Moscow,332.4,PickPoint,2,1.01,True,3659.72,2.0,0.0
214,2024-01-09 21:00:00,WH_Moscow,Kazan,117.3,Boxberry,2,2.21,True,1718.68,4.0,2.0
215,2024-01-09 22:00:00,WH_SPb,Ekaterinburg,213.5,PickPoint,1,0.71,True,2286.58,1.0,0.0
216,2024-01-09 23:00:00,WH_SPb,Moscow,336.1,PickPoint,1,4.7,True,4940.67,3.0,2.0
217,2024-01-10 00:00:00,WH_SPb,SPb,266.7,Russian Post,5,1.14,True,2376.83,5.0,0.0
218,2024-01-10 01:00:00,WH_Kazan,Novosibirsk,257.6,PickPoint,5,2.18,False,3137.57,,
219,2024-01-10 02:00:00,WH_Moscow,Moscow,20.4,PickPoint,1,0.64,True,217.06,1.0,0.0
220,2024-01-10 03:00:00,WH_Moscow,Ekaterinburg,85.9,Russian Post,4,0.11,False,694.76,,
221,2024-01-10 04:00:00,WH_Moscow,Ekaterinburg,254.5,CDEK,5,0.48,False,4000.74,,
222,2024-01-10 05:00:00,WH_Kazan,SPb,5.5,CDEK,2,0.12,True,83.49,2.0,0.0
223,2024-01-10 06:00:00,WH_SPb,Moscow,86.6,Russian Post,1,1.58,True,802.26,1.0,0.0
224,2024-01-10 07:00:00,WH_SPb,Kazan,78.1,Boxberry,3,2.21,True,1144.32,3.0,0.0
225,2024-01-10 08:00:00,WH_Moscow,Moscow,86.2,PickPoint,3,0.11,True,871.48,3.0,0.0
226,2024-01-10 09:00:00,WH_SPb,Ekaterinburg,230.1,CDEK,4,0.24,True,3534.34,4.0,0.0
227,2024-01-10 10:00:00,WH_SPb,SPb,261.7,Russian Post,1,1.66,True,2441.14,1.0,0.0
228,2024-01-10 11:00:00,WH_Kazan,SPb,719.1,Boxberry,2,4.01,True,12089.51,2.0,0.0
229,2024-01-10 12:00:00,WH_Kazan,Kazan,146.3,PickPoint,4,2.47,True,1824.36,4.0,0.0
230,2024-01-10 13:00:00,WH_Kazan,SPb,783.5,Russian Post,2,0.28,True,6443.5,2.0,0.0
231,2024-01-10 14:00:00,WH_Kazan,SPb,316.6,Russian Post,3,5.46,True,3915.71,3.0,0.0
232,2024-01-10 15:00:00,WH_Moscow,SPb,731.4,Russian Post,2,6.24,True,9502.35,4.0,2.0
233,2024-01-10 16:00:00,WH_Kazan,SPb,537.8,PickPoint,3,0.98,True,5905.04,3.0,0.0
234,2024-01-10 17:00:00,WH_SPb,SPb,349.0,CDEK,5,2.39,True,6486.17,5.0,0.0
235,2024-01-10 18:00:00,WH_Moscow,Ekaterinburg,132.1,PickPoint,3,1.69,True,1544.25,3.0,0.0
